,human,yeast,ecoli,metname
glc,0.5,0.5,11.1,Glc(e)
g6p,0.675403962,5.306699423,7.877471037,G6P
f6p,0.096949098,2.367268855,2.524009686,F6P
fdp,1.515192135,3.999521316,15.2,FBP
dhap,1.625674756,0.823418613,3.062114323,DHAP
g3p,0.140717121,0.117754201,0.271107408,GAP
13dpg,0.002241538,0.002241538,0.002241538,BPG
3pg,0.375295417,0.577523285,1.54,3PG
2pg,0.009485293,0.023839487,0.151,2PG
pep,0.011632749,0.029083636,0.184,PEP
pyr,0.1,0.1,3.664930744,Pyr
