,ecoli,metname
cit,1.96,Cit
icit,0.0367,Icit
akg,0.443,aKG
succoa,0.223,SucCoA
succ,0.569,Suc
fum,0.288,Fum
mal__L,1.68,Mal
oaa,0.000487,Oaa
