,human,yeast,metname
glc_D_EX,5,5,Glc(e)
glc_D,0.5,0.5,Glc
g6p,0.675403962,5.306699423,G6P
f6p,0.096949098,2.367268855,F6P
fdp,1.515192135,3.999521316,FBP
dhap,1.625674756,0.823418613,DHAP
g3p,0.140717121,0.117754201,GAP
13dpg,0.002241538,0.002241538,BPG
3pg,0.375295417,0.577523285,3PG
2pg,0.009485293,0.023839487,2PG
pep,0.011632749,0.029083636,PEP
pyr,0.1,0.1,Pyr
