Metabolite,Concentration (M),Organism,,,
ATP,4.67E-3,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
glutamine,1.72E-2,Homo sapiens,,,
UTP,1.76E-3,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
IMP,1.23E-5,Mus musculus,,,
aspartate,1.49E-2,Mus musculus,,,
GTP,6.77E-4,Mus musculus,,,
ATP,4.67E-3,Mus musculus,,,
aspartate,1.49E-2,Mus musculus,,,
ATP,4.67E-3,Homo sapiens,,,
glutamine,1.72E-2,Homo sapiens,,,
ATP,4.67E-3,Mus musculus,,,
glutamine,1.72E-2,Mus musculus,,,
ATP,4.67E-3,Mus musculus,,,
aspartate,1.49E-2,Mus musculus,,,
glutamine,1.72E-2,Mus musculus,,,
ATP,4.67E-3,Homo sapiens,,,
pyruvate,5.88E-3,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
acetyl-CoA,2.88E-5,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
ATP,4.67E-3,Mus musculus,,,
ATP,4.67E-3,Homo sapiens,,,
GTP,6.77E-4,Homo sapiens,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
NADP+,1.83E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
serine,3.87E-3,Saccharomyces cerevisiae,,,
NADP+,1.83E-4,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
oxaloacetate,5.01E-7,Saccharomyces cerevisiae,,,
malate,9.25E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
malate,9.25E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
isocitrate,5.79E-6,Saccharomyces cerevisiae,,,
a-ketoglutarate,8.48E-4,Saccharomyces cerevisiae,,,
isocitrate,5.79E-6,Saccharomyces cerevisiae,,,
NADP+,1.83E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
6-phospho-D-gluconate,2.43E-4,Saccharomyces cerevisiae,,,
NADP+,1.83E-4,Saccharomyces cerevisiae,,,
NADP+,1.83E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
NADP+,1.83E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
sn-glycerol 3-phosphate,2.81E-4,Saccharomyces cerevisiae,,,
dihydroxyacetonephosphate,8.23E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
pyruvate,9.40E-3,Saccharomyces cerevisiae,,,
glutathione,4.30E-3,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NADP+,1.83E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
glyceraldehyde-3-phosphate,1.18E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NADP+,1.83E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADP+,1.83E-4,Saccharomyces cerevisiae,,,
pyruvate,9.40E-3,Saccharomyces cerevisiae,,,
a-ketoglutarate,8.48E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
glutamine,3.55E-2,Saccharomyces cerevisiae,,,
a-ketoglutarate,8.48E-4,Saccharomyces cerevisiae,,,
a-ketoglutarate,8.48E-4,Saccharomyces cerevisiae,,,
glutamate,3.91E-2,Saccharomyces cerevisiae,,,
NADP+,1.83E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADP+,1.83E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NADP+,1.83E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
pyruvate,9.40E-3,Saccharomyces cerevisiae,,,
a-ketoglutarate,8.48E-4,Saccharomyces cerevisiae,,,
lysine,5.16E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
FAD,3.53E-5,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
glutathione disulfide,9.73E-5,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
serine,3.87E-3,Saccharomyces cerevisiae,,,
ornithine,4.49E-3,Saccharomyces cerevisiae,,,
xylulose-5-phosphate,2.46E-4,Saccharomyces cerevisiae,,,
ribose-5-phosphate,1.52E-4,Saccharomyces cerevisiae,,,
fructose-6-phosphate,2.37E-3,Saccharomyces cerevisiae,,,
sedoheptulose-7-phosphate,3.61E-4,Saccharomyces cerevisiae,,,
fructose-6-phosphate,2.37E-3,Saccharomyces cerevisiae,,,
erythrose-4-phosphate,1.46E-5,Saccharomyces cerevisiae,,,
pyruvate,9.40E-3,Saccharomyces cerevisiae,,,
sn-glycerol 3-phosphate,2.81E-4,Saccharomyces cerevisiae,,,
acetyl-CoA,4.36E-5,Saccharomyces cerevisiae,,,
acetyl-CoA,4.36E-5,Saccharomyces cerevisiae,,,
ornithine,4.49E-3,Saccharomyces cerevisiae,,,
glutamate,3.91E-2,Saccharomyces cerevisiae,,,
N-acetyl-ornithine,2.29E-4,Saccharomyces cerevisiae,,,
acetyl-CoA,4.36E-5,Saccharomyces cerevisiae,,,
dihydroxyacetonephosphate,8.23E-4,Saccharomyces cerevisiae,,,
acetyl-CoA,4.36E-5,Saccharomyces cerevisiae,,,
acetyl-CoA,4.36E-5,Saccharomyces cerevisiae,,,
acetyl-CoA,4.36E-5,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
glutathione,4.30E-3,Saccharomyces cerevisiae,,,
oxaloacetate,5.01E-7,Saccharomyces cerevisiae,,,
acetyl-CoA,4.36E-5,Saccharomyces cerevisiae,,,
acetyl-CoA,4.36E-5,Saccharomyces cerevisiae,,,
pyruvate,9.40E-3,Saccharomyces cerevisiae,,,
acetyl-CoA,4.36E-5,Saccharomyces cerevisiae,,,
a-ketoglutarate,8.48E-4,Saccharomyces cerevisiae,,,
acetyl-CoA,4.36E-5,Saccharomyces cerevisiae,,,
acetyl-CoA,4.36E-5,Saccharomyces cerevisiae,,,
UDP-glucose,2.68E-4,Saccharomyces cerevisiae,,,
UDP-glucose,2.68E-4,Saccharomyces cerevisiae,,,
glucose-6-phosphate,5.31E-3,Saccharomyces cerevisiae,,,
UDP-N-acetyl-glucosamine,1.02E-3,Saccharomyces cerevisiae,,,
UDP-glucose,2.68E-4,Saccharomyces cerevisiae,,,
PRPP,4.70E-5,Saccharomyces cerevisiae,,,
PRPP,4.70E-5,Saccharomyces cerevisiae,,,
PRPP,4.70E-5,Saccharomyces cerevisiae,,,
PRPP,4.70E-5,Saccharomyces cerevisiae,,,
PRPP,4.70E-5,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
NADPH,2.21E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
phosphoenolpyruvate,2.91E-5,Saccharomyces cerevisiae,,,
erythrose-4-phosphate,1.46E-5,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
methionine,1.91E-4,Saccharomyces cerevisiae,,,
glutamine,3.55E-2,Saccharomyces cerevisiae,,,
fructose-6-phosphate,2.37E-3,Saccharomyces cerevisiae,,,
pyruvate,9.40E-3,Saccharomyces cerevisiae,,,
alanine,2.23E-2,Saccharomyces cerevisiae,,,
a-ketoglutarate,8.48E-4,Saccharomyces cerevisiae,,,
glutamate,3.91E-2,Saccharomyces cerevisiae,,,
a-ketoglutarate,8.48E-4,Saccharomyces cerevisiae,,,
glutamate,3.91E-2,Saccharomyces cerevisiae,,,
phenylalanine,2.73E-4,Saccharomyces cerevisiae,,,
tyrosine,2.48E-4,Saccharomyces cerevisiae,,,
alanine,2.23E-2,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
gluconate,9.51E-5,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ADP,4.88E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
xylulose-5-phosphate,2.46E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
inosine,6.12E-6,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ADP,4.88E-4,Saccharomyces cerevisiae,,,
phosphoenolpyruvate,2.91E-5,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
CTP,2.49E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
UTP,4.94E-4,Saccharomyces cerevisiae,,,
GTP,2.47E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ADP,4.88E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
3-phosphoglycerate,5.78E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
aspartate,6.29E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ADP,4.88E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
UMP,1.45E-5,Saccharomyces cerevisiae,,,
CMP,5.18E-6,Saccharomyces cerevisiae,,,
UDP,3.68E-5,Saccharomyces cerevisiae,,,
GMP,1.02E-5,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
GDP,4.21E-5,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
UDP-glucose,2.68E-4,Saccharomyces cerevisiae,,,
CTP,2.49E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
CTP,2.49E-4,Saccharomyces cerevisiae,,,
GTP,2.47E-4,Saccharomyces cerevisiae,,,
UDP-N-acetyl-glucosamine,1.02E-3,Saccharomyces cerevisiae,,,
N-acetyl-glucosamine-1/6-phosphate,1.50E-4,Saccharomyces cerevisiae,,,
UDP-glucose,2.68E-4,Saccharomyces cerevisiae,,,
CTP,2.49E-4,Saccharomyces cerevisiae,,,
ADP,4.88E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
GDP,4.21E-5,Saccharomyces cerevisiae,,,
dATP,9.78E-6,Saccharomyces cerevisiae,,,
dCTP,4.46E-6,Saccharomyces cerevisiae,,,
UDP-glucose,2.68E-4,Saccharomyces cerevisiae,,,
CMP,5.18E-6,Saccharomyces cerevisiae,,,
UDP-N-acetyl-glucosamine,1.02E-3,Saccharomyces cerevisiae,,,
sn-glycerol 3-phosphate,2.81E-4,Saccharomyces cerevisiae,,,
glutathione,4.30E-3,Saccharomyces cerevisiae,,,
acetyl-CoA,4.36E-5,Saccharomyces cerevisiae,,,
"fructose-1,6-bisphosphate",4.00E-3,Saccharomyces cerevisiae,,,
"2,3-bisphosphoglycerate",3.61E-5,Saccharomyces cerevisiae,,,
sn-glycerol 3-phosphate,2.81E-4,Saccharomyces cerevisiae,,,
UMP,1.45E-5,Saccharomyces cerevisiae,,,
CMP,5.18E-6,Saccharomyces cerevisiae,,,
trehalose,8.40E-3,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
asparagine,5.69E-3,Saccharomyces cerevisiae,,,
arginine,2.18E-2,Saccharomyces cerevisiae,,,
dATP,9.78E-6,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
UTP,4.94E-4,Saccharomyces cerevisiae,,,
dCTP,4.46E-6,Saccharomyces cerevisiae,,,
CTP,2.49E-4,Saccharomyces cerevisiae,,,
GTP,2.47E-4,Saccharomyces cerevisiae,,,
NAD+,2.44E-3,Saccharomyces cerevisiae,,,
NADH,1.07E-4,Saccharomyces cerevisiae,,,
GDP,4.21E-5,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
glutathione,4.30E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
dATP,9.78E-6,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
pyruvate,9.40E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
pyruvate,9.40E-3,Saccharomyces cerevisiae,,,
ADP,4.88E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
phosphoenolpyruvate,2.91E-5,Saccharomyces cerevisiae,,,
oxaloacetate,5.01E-7,Saccharomyces cerevisiae,,,
"fructose-1,6-bisphosphate",4.00E-3,Saccharomyces cerevisiae,,,
threonine,6.69E-3,Saccharomyces cerevisiae,,,
2-phosphoglycerate,2.38E-5,Saccharomyces cerevisiae,,,
glyceraldehyde-3-phosphate,1.18E-4,Saccharomyces cerevisiae,,,
serine,3.87E-3,Saccharomyces cerevisiae,,,
serine,3.87E-3,Saccharomyces cerevisiae,,,
dihydroxyacetonephosphate,8.23E-4,Saccharomyces cerevisiae,,,
AMP,8.12E-5,Saccharomyces cerevisiae,,,
fumarate,1.24E-4,Saccharomyces cerevisiae,,,
glutathione,4.30E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ribulose-5-phosphate,1.22E-4,Saccharomyces cerevisiae,,,
glyceraldehyde-3-phosphate,1.18E-4,Saccharomyces cerevisiae,,,
dihydroxyacetonephosphate,8.23E-4,Saccharomyces cerevisiae,,,
ribose-5-phosphate,1.52E-4,Saccharomyces cerevisiae,,,
glucose-6-phosphate,5.31E-3,Saccharomyces cerevisiae,,,
fructose-6-phosphate,2.37E-3,Saccharomyces cerevisiae,,,
3-phosphoglycerate,5.78E-4,Saccharomyces cerevisiae,,,
glucose-6-phosphate,5.31E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
tyrosine,2.48E-4,Saccharomyces cerevisiae,,,
coenzyme-A,4.90E-3,Saccharomyces cerevisiae,,,
methionine,1.91E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
serine,3.87E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
aspartate,6.29E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
proline,1.36E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
glutamine,3.55E-2,Saccharomyces cerevisiae,,,
arginine,2.18E-2,Saccharomyces cerevisiae,,,
dATP,9.78E-6,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
phenylalanine,2.73E-4,Saccharomyces cerevisiae,,,
tyrosine,2.48E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
isoleucine,3.53E-4,Saccharomyces cerevisiae,,,
leucine,3.53E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
alanine,2.23E-2,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
coenzyme-A,4.90E-3,Saccharomyces cerevisiae,,,
acetyl-CoA,4.36E-5,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
coenzyme-A,4.90E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
glutamate,3.91E-2,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
UTP,4.94E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
PRPP,4.70E-5,Saccharomyces cerevisiae,,,
IMP,3.80E-5,Saccharomyces cerevisiae,,,
aspartate,6.29E-3,Saccharomyces cerevisiae,,,
GTP,2.47E-4,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
glutamine,3.55E-2,Saccharomyces cerevisiae,,,
glutamine,3.55E-2,Saccharomyces cerevisiae,,,
ATP,1.93E-3,Saccharomyces cerevisiae,,,
pyruvate,9.40E-3,Saccharomyces cerevisiae,,,
NADPH,1.21E-4,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
fructose-6-phosphate,2.52E-3,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
IMP,2.72E-4,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
UDP-glucose,2.50E-3,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
shikimate,1.41E-5,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
serine,1.13E-3,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
shikimate,1.41E-5,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
UDP-glucuronate,5.66E-4,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
acetoacetyl-CoA,2.18E-5,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
oxaloacetate,4.87E-7,Escherichia coli,,,
malate,1.68E-3,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
oxaloacetate,4.87E-7,Escherichia coli,,,
malate,1.68E-3,Escherichia coli,,,
malate,1.68E-3,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
isocitrate,3.67E-5,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
6-phospho-D-gluconate,3.77E-3,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
glucose-6-phosphate,7.88E-3,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
glycerate,1.41E-3,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
pyruvate,3.66E-3,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
sn-glycerol 3-phosphate,4.90E-5,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
dihydroxyacetonephosphate,3.06E-3,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
3-phosphoglycerate,1.54E-3,Escherichia coli,,,
a-ketoglutarate,4.43E-4,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
sn-glycerol 3-phosphate,4.90E-5,Escherichia coli,,,
a-ketoglutarate,4.43E-4,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
lysine,4.05E-4,Escherichia coli,,,
FAD,1.73E-4,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
riboflavin,1.90E-5,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
FAD,1.73E-4,Escherichia coli,,,
flavin mononucleotide,5.37E-5,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
ATP,9.63E-3,Escherichia coli,,,
dTTP,4.62E-3,Escherichia coli,,,
UDP,1.79E-3,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
coenzyme-A,1.37E-3,Escherichia coli,,,
acetyl-CoA,6.06E-4,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
glyceraldehyde-3-phosphate,2.71E-4,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
erythrose-4-phosphate,4.90E-5,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
pyruvate,3.66E-3,Escherichia coli,,,
a-ketoglutarate,4.43E-4,Escherichia coli,,,
NAD+,2.55E-3,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
fumarate,2.88E-4,Escherichia coli,,,
succinate,5.69E-4,Escherichia coli,,,
dihydroorotate,1.19E-5,Escherichia coli,,,
fumarate,2.88E-4,Escherichia coli,,,
succinate,5.69E-4,Escherichia coli,,,
fumarate,2.88E-4,Escherichia coli,,,
succinate,5.69E-4,Escherichia coli,,,
glutamine,3.81E-3,Escherichia coli,,,
a-ketoglutarate,4.43E-4,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
a-ketoglutarate,4.43E-4,Escherichia coli,,,
glutamate,9.60E-2,Escherichia coli,,,
NADP+,2.08E-6,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
aspartate,4.23E-3,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
riboflavin,1.90E-5,Escherichia coli,,,
flavin mononucleotide,5.37E-5,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
NADPH,1.21E-4,Escherichia coli,,,
riboflavin,1.90E-5,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
FAD,1.73E-4,Escherichia coli,,,
flavin mononucleotide,5.37E-5,Escherichia coli,,,
NADH,8.36E-5,Escherichia coli,,,
FAD,1.73E-4,Escherichia coli,,,
